title_fr,editions,values_read,values_kept,values_in_conflict,status
activite de la cour de cassation par 2,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activite des tribunaux par degre 1,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activites de la cours de cassation par matiere au cours de l annee judiciaire,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activites de la sante de la reproduction 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activites des centres du planing familial selon l objet par gouvernorat,1,144,144,0,extracted
activites des centres du planning familial 5,2,300,300,0,extracted
activites des cours d appel 3,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activites des cours d appel par matiere et par annee judiciaire,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activites des justices cantonales 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activites des justices cantonales par matiere au cours de l annee judiciaire 2000 - 2001,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activites des tribunaux 4,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activites des tribunaux de 1 ere,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activites des tribunaux par degre au cours de l annee judiciaire 2000 - 2001,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activites du planning familial 6,2,664,664,0,extracted
activites du planning familial selon les differentes methodes par gouvernorat,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activité de la cour de cassation par 2,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activité de la cour de cassation par matière au cours de,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activité de la cour de cassation par matière au cours de l année 2,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activité des tribunaux par degré 1,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activité des tribunaux par degré au cours de l année judiciaire 2017-2018 2018-2017 1,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activité des tribunaux par degré au cours de l année judiciaire 2020-2021 2021-2020 1,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activité des tribunaux par degré au cours de l année judiciaire 2023-2022 1,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction et de la 2019 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction et de la plani cation,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction et de la plani cation 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction et de la planification,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction et de la planification 2020 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction et de la planification 2021 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction et de la planification 2022 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction et de la planification 2023 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction et de la planification 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités de la santé de la reproduction et de la planification familiale 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités des centres du planning familial selon l objet,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités des cours d appel 3,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités des cours d appel par matière et par année judiciaire 3,5,50,24,0,extracted
activités des justices cantonales 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités des justices cantonales par matière au cours de 5,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités des tribunaux 4,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités des tribunaux de 1ere instance par matière 4,0,0,0,0,"not extracted (header unreadable, or rows refused)"
activités des tribunaux de 1ere instance par matière au cours 4,0,0,0,0,"not extracted (header unreadable, or rows refused)"
affaires devant les tribunaux de 1ère instance en matière 10,0,0,0,0,"not extracted (header unreadable, or rows refused)"
affaires enrolees devant les tribunaux 6,0,0,0,0,"not extracted (header unreadable, or rows refused)"
affaires enrolees devant les tribunaux 8,0,0,0,0,"not extracted (header unreadable, or rows refused)"
affaires enrolees devant les tribunaux de 1 ere,0,0,0,0,"not extracted (header unreadable, or rows refused)"
affaires enrolées devant les tribunaux 6,0,0,0,0,"not extracted (header unreadable, or rows refused)"
affaires enrolées devant les tribunaux 7,0,0,0,0,"not extracted (header unreadable, or rows refused)"
affaires enrolées devant les tribunaux 8,0,0,0,0,"not extracted (header unreadable, or rows refused)"
affaires enrolées devant les tribunaux de 1ere instance en matière 6,0,0,0,0,"not extracted (header unreadable, or rows refused)"
affaires enrolées devant les tribunaux de 1ere instance en matière 8,0,0,0,0,"not extracted (header unreadable, or rows refused)"
